"city","country","pop2024","latitude","longitude"
"Kyiv","Ukraine",2797553,50.4547,30.5238
"Kharkiv","Ukraine",1430885,49.9808,36.2527
"Dnipro","Ukraine",1032822,48.4593,35.0387
"Donetsk","Ukraine",1024700,48.023,37.8022
"Odessa","Ukraine",1001558,46.4775,30.7326
"Zaporizhia","Ukraine",796217,47.8229,35.1903
"Lviv","Ukraine",717803,49.8383,24.0232
"Kryvyi Rih","Ukraine",652380,47.9097,33.3804
"Mykolayiv","Ukraine",510840,46.9659,31.9974
"Mariupol","Ukraine",481626,47.0951,37.5413
"Luhansk","Ukraine",452000,48.5671,39.3171
"Sevastopol","Ukraine",416263,44.5888,33.5224
"Khmelnytskyi","Ukraine",398346,49.4216,26.9965
"Makiyivka","Ukraine",376610,48.0478,37.9258
"Vinnytsia","Ukraine",352115,49.2328,28.481
"Simferopol","Ukraine",336460,44.9572,34.1108
"Kherson","Ukraine",320477,46.6558,32.6178
"Poltava","Ukraine",317847,49.5937,34.5407
"Chernihiv","Ukraine",307684,51.5055,31.2849
"Cherkasy","Ukraine",297568,49.4285,32.0621
"Sumy","Ukraine",294456,50.9216,34.8003
"Zhytomyr","Ukraine",282192,50.2649,28.6767
"Horlivka","Ukraine",278550,48.3358,38.0532
"Rivne","Ukraine",255106,50.6231,26.2274
"Kropyvnytskyi","Ukraine",249454,48.5132,32.2597
"Kamianske","Ukraine",248575,48.5113,34.6021
"Chernivtsi","Ukraine",236250,48.2915,25.9403
"Ternopil","Ukraine",235676,49.5534,25.5892
"Kremenchuk","Ukraine",227494,49.068,33.4204
"Lutsk","Ukraine",213661,50.7593,25.3424
"Ivano-Frankivsk","Ukraine",204200,48.9215,24.7097
"Bila Tserkva","Ukraine",199163,49.8094,30.1121
"Kramators'k","Ukraine",173700,48.723,37.5563
"Melitopol","Ukraine",158000,46.8489,35.3653
"Kerch","Ukraine",148932,45.3531,36.4743
"Nikopol","Ukraine",130500,47.5712,34.3964
"Syevyerodonets'k","Ukraine",130000,48.9483,38.4917
"Sloviansk","Ukraine",124800,48.8667,37.6167
"Berdyansk","Ukraine",118284,46.7664,36.7987
"Uzhgorod","Ukraine",117878,48.6167,22.3
"Alchevs'k","Ukraine",116000,48.4689,38.8167
"Pavlohrad","Ukraine",115932,48.5343,35.871
"Lysychans'k","Ukraine",111600,48.9049,38.4421
"Yevpatoriya","Ukraine",106202,45.2009,33.3666
"Yenakiyeve","Ukraine",104101,48.2333,38.2114
"Oleksandriya","Ukraine",103000,48.6696,33.1159
"Kamianets-Podilskyi","Ukraine",100000,48.6845,26.5856
"Konotop","Ukraine",91798,51.2403,33.2026
"Kostyantynivka","Ukraine",91259,48.5277,37.7069
"Krasnyy Luch","Ukraine",90005,48.1395,38.9371
"Brovary","Ukraine",88506,50.5181,30.8067
"Uman","Ukraine",87658,48.7484,30.2218
"Berdychiv","Ukraine",86250,49.8993,28.6024
"Shostka","Ukraine",85432,51.863,33.4698
"Kadiyivka","Ukraine",84425,48.5682,38.6435
"Chervonohrad","Ukraine",83000,50.391,24.2351
